t_epoch_s,power_mW,gpu_index,source
1767014128.315112,10290,0,nvidia-smi
1767014128.402950,10290,0,nvidia-smi
1767014128.514083,10290,0,nvidia-smi
1767014128.614259,10290,0,nvidia-smi
1767014128.702288,10290,0,nvidia-smi
1767014128.802902,10290,0,nvidia-smi
1767014128.902903,10290,0,nvidia-smi
1767014129.013826,10340,0,nvidia-smi
1767014129.114264,10340,0,nvidia-smi
1767014129.203048,10340,0,nvidia-smi
1767014129.303194,10340,0,nvidia-smi
1767014129.402769,10340,0,nvidia-smi
1767014129.513132,10340,0,nvidia-smi
1767014129.640231,10340,0,nvidia-smi
1767014129.701364,10340,0,nvidia-smi
1767014129.826313,10340,0,nvidia-smi
1767014129.941678,10340,0,nvidia-smi
1767014130.041324,10380,0,nvidia-smi
1767014130.149472,10380,0,nvidia-smi
1767014130.204462,10590,0,nvidia-smi
1767014130.303548,13100,0,nvidia-smi
1767014130.402783,15460,0,nvidia-smi
1767014130.503899,17480,0,nvidia-smi
1767014130.602617,21550,0,nvidia-smi
1767014130.704565,32080,0,nvidia-smi
1767014130.802269,42290,0,nvidia-smi
1767014130.902283,52150,0,nvidia-smi
1767014131.002007,60480,0,nvidia-smi
1767014131.101687,122170,0,nvidia-smi
1767014131.201912,152500,0,nvidia-smi
1767014131.301873,162870,0,nvidia-smi
1767014131.401726,181530,0,nvidia-smi
1767014131.501845,199570,0,nvidia-smi
1767014131.601668,217320,0,nvidia-smi
1767014131.716632,232330,0,nvidia-smi
1767014131.816028,237000,0,nvidia-smi
1767014131.903398,241060,0,nvidia-smi
1767014132.015542,243630,0,nvidia-smi
1767014132.101695,246600,0,nvidia-smi
1767014132.202474,243590,0,nvidia-smi
1767014132.302055,243390,0,nvidia-smi
1767014132.403498,243020,0,nvidia-smi
1767014132.503136,241910,0,nvidia-smi
1767014132.601950,240550,0,nvidia-smi
1767014132.703554,241060,0,nvidia-smi
1767014132.803465,241130,0,nvidia-smi
1767014132.915122,241320,0,nvidia-smi
1767014133.014258,240510,0,nvidia-smi
1767014133.103535,240220,0,nvidia-smi
1767014133.214829,240480,0,nvidia-smi
1767014133.313783,244960,0,nvidia-smi
1767014133.413929,246130,0,nvidia-smi
1767014133.502002,248690,0,nvidia-smi
1767014133.602337,251570,0,nvidia-smi
1767014133.728012,253270,0,nvidia-smi
1767014133.813928,253990,0,nvidia-smi
1767014133.902709,254580,0,nvidia-smi
1767014134.002501,254720,0,nvidia-smi
1767014134.102019,255440,0,nvidia-smi
1767014134.228394,255410,0,nvidia-smi
1767014134.304163,255760,0,nvidia-smi
1767014134.416721,256450,0,nvidia-smi
1767014134.501702,252200,0,nvidia-smi
1767014134.602178,234080,0,nvidia-smi
1767014134.701864,213520,0,nvidia-smi
