t_epoch_s,power_mW,gpu_index,source
1766961042.578001,190890,0,nvidia-smi
1766961042.678674,193430,0,nvidia-smi
1766961042.778486,193750,0,nvidia-smi
1766961042.891282,193770,0,nvidia-smi
1766961043.016539,191380,0,nvidia-smi
1766961043.077367,190350,0,nvidia-smi
1766961043.179365,193380,0,nvidia-smi
1766961043.279223,193810,0,nvidia-smi
1766961043.391974,194090,0,nvidia-smi
1766961043.492327,194040,0,nvidia-smi
1766961043.592314,194030,0,nvidia-smi
1766961043.678348,192700,0,nvidia-smi
1766961043.777691,190080,0,nvidia-smi
1766961043.878815,191830,0,nvidia-smi
1766961043.979051,193820,0,nvidia-smi
1766961044.078340,193850,0,nvidia-smi
1766961044.191706,193880,0,nvidia-smi
1766961044.292284,191050,0,nvidia-smi
1766961044.390599,190760,0,nvidia-smi
1766961044.491881,194050,0,nvidia-smi
1766961044.590547,194420,0,nvidia-smi
1766961044.678569,194420,0,nvidia-smi
1766961044.791193,194490,0,nvidia-smi
1766961044.878891,194590,0,nvidia-smi
1766961044.979118,192640,0,nvidia-smi
1766961045.079620,190760,0,nvidia-smi
1766961045.179626,190750,0,nvidia-smi
1766961045.279523,194090,0,nvidia-smi
1766961045.391894,194080,0,nvidia-smi
1766961045.490664,194010,0,nvidia-smi
1766961045.591646,190470,0,nvidia-smi
1766961045.692166,190210,0,nvidia-smi
1766961045.778583,190270,0,nvidia-smi
1766961045.877095,190240,0,nvidia-smi
1766961045.978899,193930,0,nvidia-smi
1766961046.078572,194180,0,nvidia-smi
1766961046.190492,194140,0,nvidia-smi
1766961046.278576,194230,0,nvidia-smi
1766961046.390871,190980,0,nvidia-smi
1766961046.479146,191000,0,nvidia-smi
1766961046.578963,191040,0,nvidia-smi
1766961046.678908,191130,0,nvidia-smi
1766961046.803028,194210,0,nvidia-smi
1766961046.891875,194610,0,nvidia-smi
1766961046.991560,194560,0,nvidia-smi
1766961047.104779,190860,0,nvidia-smi
1766961047.191947,190540,0,nvidia-smi
1766961047.278560,190490,0,nvidia-smi
1766961047.391021,190360,0,nvidia-smi
1766961047.503139,190070,0,nvidia-smi
1766961047.579807,191030,0,nvidia-smi
1766961047.678757,193830,0,nvidia-smi
1766961047.779333,193730,0,nvidia-smi
1766961047.879069,190760,0,nvidia-smi
1766961047.978414,190460,0,nvidia-smi
1766961048.078598,190570,0,nvidia-smi
1766961048.189979,190680,0,nvidia-smi
1766961048.291454,190750,0,nvidia-smi
1766961048.390239,190870,0,nvidia-smi
1766961048.492240,190920,0,nvidia-smi
1766961048.578707,191150,0,nvidia-smi
1766961048.678012,190160,0,nvidia-smi
1766961048.790085,187270,0,nvidia-smi
1766961048.878721,187280,0,nvidia-smi
1766961048.978452,187210,0,nvidia-smi
1766961049.078315,187140,0,nvidia-smi
1766961049.190846,187050,0,nvidia-smi
1766961049.278630,186900,0,nvidia-smi
1766961049.376856,186790,0,nvidia-smi
1766961049.478345,189430,0,nvidia-smi
1766961049.578266,188020,0,nvidia-smi
1766961049.690052,188370,0,nvidia-smi
1766961049.816816,188950,0,nvidia-smi
1766961049.891837,189600,0,nvidia-smi
1766961049.978490,190160,0,nvidia-smi
1766961050.078377,190600,0,nvidia-smi
1766961050.190767,191020,0,nvidia-smi
1766961050.291181,191330,0,nvidia-smi
1766961050.389661,191620,0,nvidia-smi
1766961050.490361,191850,0,nvidia-smi
1766961050.578720,189820,0,nvidia-smi
1766961050.678441,194150,0,nvidia-smi
1766961050.791216,193860,0,nvidia-smi
1766961050.891950,193320,0,nvidia-smi
1766961050.979030,192850,0,nvidia-smi
1766961051.078794,192400,0,nvidia-smi
1766961051.203258,192080,0,nvidia-smi
1766961051.278994,191790,0,nvidia-smi
1766961051.390767,191600,0,nvidia-smi
1766961051.478854,191480,0,nvidia-smi
1766961051.589835,191400,0,nvidia-smi
1766961051.690757,191970,0,nvidia-smi
1766961051.778503,191930,0,nvidia-smi
1766961051.892574,192030,0,nvidia-smi
1766961051.979141,192130,0,nvidia-smi
1766961052.078945,192180,0,nvidia-smi
1766961052.192010,192270,0,nvidia-smi
1766961052.278809,192300,0,nvidia-smi
1766961052.390496,192330,0,nvidia-smi
1766961052.515066,192430,0,nvidia-smi
1766961052.616598,192460,0,nvidia-smi
1766961052.691701,192540,0,nvidia-smi
1766961052.778614,191840,0,nvidia-smi
1766961052.891455,191990,0,nvidia-smi
1766961052.978605,192130,0,nvidia-smi
1766961053.078882,191990,0,nvidia-smi
1766961053.178496,191850,0,nvidia-smi
1766961053.279214,191700,0,nvidia-smi
1766961053.390599,191580,0,nvidia-smi
1766961053.476943,191510,0,nvidia-smi
1766961053.579578,195130,0,nvidia-smi
1766961053.678652,195440,0,nvidia-smi
1766961053.778754,195550,0,nvidia-smi
1766961053.878756,192760,0,nvidia-smi
1766961053.978332,192380,0,nvidia-smi
1766961054.091700,192200,0,nvidia-smi
1766961054.179076,192400,0,nvidia-smi
1766961054.278729,192480,0,nvidia-smi
1766961054.378087,192570,0,nvidia-smi
1766961054.478898,192670,0,nvidia-smi
1766961054.576882,192690,0,nvidia-smi
1766961054.691561,192570,0,nvidia-smi
1766961054.778615,192430,0,nvidia-smi
1766961054.889992,192210,0,nvidia-smi
1766961054.978438,192130,0,nvidia-smi
1766961055.078144,192420,0,nvidia-smi
1766961055.178500,195400,0,nvidia-smi
1766961055.290813,195300,0,nvidia-smi
1766961055.379269,195260,0,nvidia-smi
1766961055.476918,195200,0,nvidia-smi
1766961055.578842,198820,0,nvidia-smi
1766961055.678609,199040,0,nvidia-smi
1766961055.789994,195400,0,nvidia-smi
1766961055.890239,195240,0,nvidia-smi
1766961055.991747,195280,0,nvidia-smi
1766961056.078972,198370,0,nvidia-smi
1766961056.190831,198300,0,nvidia-smi
1766961056.278464,195200,0,nvidia-smi
1766961056.378763,195150,0,nvidia-smi
1766961056.476996,195260,0,nvidia-smi
1766961056.578198,199070,0,nvidia-smi
1766961056.678447,195730,0,nvidia-smi
1766961056.778552,195480,0,nvidia-smi
1766961056.878464,195630,0,nvidia-smi
1766961056.978426,196640,0,nvidia-smi
1766961057.090274,199560,0,nvidia-smi
1766961057.178478,196710,0,nvidia-smi
1766961057.278305,196340,0,nvidia-smi
1766961057.404348,196380,0,nvidia-smi
1766961057.491576,196540,0,nvidia-smi
1766961057.591596,196520,0,nvidia-smi
1766961057.676936,192760,0,nvidia-smi
1766961057.790039,195860,0,nvidia-smi
1766961057.877853,196080,0,nvidia-smi
1766961057.977997,195890,0,nvidia-smi
1766961058.079156,194840,0,nvidia-smi
1766961058.178646,192000,0,nvidia-smi
1766961058.276849,191710,0,nvidia-smi
1766961058.377958,195490,0,nvidia-smi
1766961058.478098,195750,0,nvidia-smi
1766961058.578402,195590,0,nvidia-smi
1766961058.677638,195560,0,nvidia-smi
1766961058.792179,195670,0,nvidia-smi
1766961058.890515,192350,0,nvidia-smi
1766961058.978777,194980,0,nvidia-smi
1766961059.078547,195460,0,nvidia-smi
1766961059.190336,195730,0,nvidia-smi
1766961059.278678,195600,0,nvidia-smi
1766961059.404567,195550,0,nvidia-smi
1766961059.477407,191790,0,nvidia-smi
1766961059.591437,195420,0,nvidia-smi
1766961059.678571,195760,0,nvidia-smi
1766961059.778017,195720,0,nvidia-smi
1766961059.878366,195710,0,nvidia-smi
1766961059.978043,195720,0,nvidia-smi
1766961060.102678,192960,0,nvidia-smi
1766961060.179140,192630,0,nvidia-smi
1766961060.278378,193460,0,nvidia-smi
1766961060.378055,196190,0,nvidia-smi
1766961060.478489,196320,0,nvidia-smi
1766961060.578425,196390,0,nvidia-smi
1766961060.691514,192520,0,nvidia-smi
1766961060.790534,192210,0,nvidia-smi
1766961060.891403,192280,0,nvidia-smi
1766961060.989883,192180,0,nvidia-smi
1766961061.090514,195190,0,nvidia-smi
1766961061.191078,195600,0,nvidia-smi
1766961061.279195,195440,0,nvidia-smi
1766961061.378939,194310,0,nvidia-smi
1766961061.492415,191680,0,nvidia-smi
1766961061.578471,191610,0,nvidia-smi
1766961061.691469,191570,0,nvidia-smi
1766961061.792413,191680,0,nvidia-smi
1766961061.891546,195290,0,nvidia-smi
1766961061.978871,196240,0,nvidia-smi
1766961062.078679,195500,0,nvidia-smi
1766961062.204864,192500,0,nvidia-smi
1766961062.278719,192140,0,nvidia-smi
1766961062.379002,192380,0,nvidia-smi
1766961062.477036,192510,0,nvidia-smi
1766961062.578522,195380,0,nvidia-smi
1766961062.678679,196640,0,nvidia-smi
1766961062.778660,196160,0,nvidia-smi
1766961062.891978,195990,0,nvidia-smi
1766961063.004476,192370,0,nvidia-smi
1766961063.078242,192110,0,nvidia-smi
1766961063.178272,192090,0,nvidia-smi
1766961063.278577,191970,0,nvidia-smi
1766961063.378452,191820,0,nvidia-smi
1766961063.479093,191650,0,nvidia-smi
1766961063.592074,191540,0,nvidia-smi
1766961063.691901,188510,0,nvidia-smi
1766961063.788929,188030,0,nvidia-smi
1766961063.878499,191460,0,nvidia-smi
1766961063.979288,191880,0,nvidia-smi
1766961064.091461,191930,0,nvidia-smi
1766961064.178448,191970,0,nvidia-smi
1766961064.292708,192050,0,nvidia-smi
1766961064.378657,192190,0,nvidia-smi
1766961064.478889,192320,0,nvidia-smi
1766961064.578926,193550,0,nvidia-smi
1766961064.678968,196270,0,nvidia-smi
1766961064.779020,196700,0,nvidia-smi
1766961064.878241,196730,0,nvidia-smi
1766961064.991687,193050,0,nvidia-smi
1766961065.103171,196150,0,nvidia-smi
1766961065.178282,196170,0,nvidia-smi
1766961065.278327,196120,0,nvidia-smi
1766961065.377007,196070,0,nvidia-smi
1766961065.478533,200770,0,nvidia-smi
1766961065.617439,198760,0,nvidia-smi
1766961065.679277,198760,0,nvidia-smi
1766961065.791457,196150,0,nvidia-smi
1766961065.878356,198870,0,nvidia-smi
1766961065.978629,199150,0,nvidia-smi
1766961066.078512,199090,0,nvidia-smi
1766961066.179012,195580,0,nvidia-smi
1766961066.277453,195530,0,nvidia-smi
1766961066.393029,200200,0,nvidia-smi
1766961066.478588,199720,0,nvidia-smi
1766961066.578974,196180,0,nvidia-smi
1766961066.689799,195940,0,nvidia-smi
1766961066.779073,198260,0,nvidia-smi
1766961066.878701,199780,0,nvidia-smi
1766961066.978843,196800,0,nvidia-smi
1766961067.078127,196560,0,nvidia-smi
1766961067.204197,196650,0,nvidia-smi
1766961067.291936,196710,0,nvidia-smi
1766961067.379435,196810,0,nvidia-smi
1766961067.478635,193200,0,nvidia-smi
1766961067.579010,192660,0,nvidia-smi
1766961067.691983,192520,0,nvidia-smi
